verdict	reason	why	seed_id	seed_title	seed_date	seed_cat	seed_blurb	dump_id	dump_title	dump_date	dump_cat	dump_notability
drop-seed	same fact, same date; dump row carries better coords/title	title	seed:adal-sultanate-1415-01-01	Adal Sultanate	1415-01-01	founding	The Adal Sultanate is established.	Q2365048	Adal Sultanate	1415-01-01	founding	0.36
drop-seed	same fact, same date; dump row carries better coords/title	title	seed:albania-1912-11-28	Albania	1912-11-28	founding	Albania declares its independence from the Ottoman Empire. Tirana is the capital.	Q222	Albania	1912-11-28	founding	1
drop-seed	Jul 3 French recognition vs Jul 5 independence day - one act (2 days apart)	title	seed:algeria-1962-07-03	Algeria	1962-07-03	founding	The French overseas department of Algeria gains independence from the French Republic. Algiers remains the capital.	Q262	Algeria	1962-07-05	founding	1
drop-seed	same fact, same date; dump row carries better coords/title	title	seed:angola-1975-11-11	Angola	1975-11-11	founding	In accordance with the Alvor Agreement, the State of Angola gains independence from Portugal as the People's Republic of	Q916	Angola	1975-11-11	founding	1
drop-seed	same fact, same date; dump row carries better coords/title	title	seed:antigua-and-barbuda-1981-11-01	Antigua and Barbuda	1981-11-01	founding	The associated state of Antigua gains independence from the United Kingdom as Antigua and Barbuda. St. John's remains th	Q781	Antigua and Barbuda	1981-11-01	founding	1
drop-seed	same fact, same date; dump row carries better coords/title	title	seed:arizona-1912-02-14	Arizona	1912-02-14	founding	Arizona is admitted to the Union as the 48th State of the United States.	Q816	Arizona	1912-02-14	founding	1
drop-seed	same fact, same date; dump row carries better coords/title	title	seed:armenia-1991-09-23	Armenia	1991-09-23	founding	Following a referendum, the Republic of Armenia reaffirms its August 1990 declaration of independence from the Soviet Un	Q399	Armenia	1991-09-23	founding	1
drop-seed	same fact, same date; dump row carries better coords/title	title	seed:aruba-1986-01-01	Aruba	1986-01-01	event	Aruba withdraws from the Netherlands Antilles and becomes a constituent country of the Kingdom of the Netherlands. Oranj	Q21203	Aruba	1986-01-01	founding	1
drop-seed	same fact, same date; dump row carries better coords/title	title	seed:australia-1901-01-01	Australia	1901-01-01	founding	The Commonwealth of Australia is established by federation of the British colonies of New South Wales, Victoria, Queensl	Q408	Australia	1901-01-01	founding	1
drop-seed	same fact, same date; dump row carries better coords/title	title	seed:australian-antarctic-territory-1933-06-13	Australian Antarctic Territory	1933-06-13	treaty	The United Kingdom cedes Enderby Land and Victoria Land to Australia as the Australian Antarctic Territory.	Q178994	Australian Antarctic Territory	1933-06-13	founding	0.7
drop-seed	same fact, same date; dump row carries better coords/title	title	seed:autonomous-province-of-western-bosnia-1993-01-01	Autonomous Province of Western Bosnia	1993-01-01	founding	The secessionist Autonomous Province of Western Bosnia is established with the support of Serbian and Croatian forces be	Q192262	Autonomous Province of Western Bosnia	1993-01-01	founding	0.31
drop-seed	same fact, same date; dump row carries better coords/title	title	seed:bahrain-1971-08-14	Bahrain	1971-08-14	founding	The protectorate of Bahrain and Its Dependencies declares independence from the United Kingdom as the State of Bahrain. 	Q398	Bahrain	1971-08-14	founding	1
drop-seed	same fact, same date; dump row carries better coords/title	title	seed:bangkok-1782-04-21	Bangkok	1782-04-21	event	Siam moves its capital from Thonburi to Bangkok.	Q1861	Bangkok	1782-04-21	founding	1
drop-seed	same fact, same date; dump row carries better coords/title	title	seed:bangladesh-1971-03-26	Bangladesh	1971-03-26	founding	Amidst a military crackdown by Pakistani forces, East Pakistan declares independence from Pakistan as the People's Repub	Q902	Bangladesh	1971-03-26	founding	1
drop-seed	same fact, same date; dump row carries better coords/title	title	seed:barbados-1966-11-30	Barbados	1966-11-30	founding	Barbados gains independence from the United Kingdom as a Commonwealth realm. Bridgetown remains the capital.	Q244	Barbados	1966-11-30	founding	1
drop-seed	same fact, same date; dump row carries better coords/title	title	seed:batavian-republic-1795-01-19	Batavian Republic	1795-01-19	founding	The Batavian Republic is established as a French client state, replacing the Dutch Republic. Amsterdam is the capital.	Q188553	Batavian Republic	1795-01-19	founding	0.65
drop-seed	same fact, same date; dump row carries better coords/title	title	seed:belarus-1991-08-25	Belarus	1991-08-25	founding	The Byelorussian Soviet Socialist Republic secedes from the Soviet Union. Minsk remains the capital.	Q184	Belarus	1991-08-25	founding	1
drop-seed	same fact, same date; dump row carries better coords/title	title	seed:belize-1981-09-21	Belize	1981-09-21	founding	The Crown Colony of Belize gains independence from the United Kingdom as a Commonwealth realm. Belmopan remains the capi	Q242	Belize	1981-09-21	founding	1
drop-seed	same fact, same date; dump row carries better coords/title	title	seed:bhutan-1907-12-17	Bhutan	1907-12-17	founding	Ugyen Wangchuck establishes the Kingdom of Bhutan. Punakha is the winter capital and Thimphu is the summer capital.	Q917	Bhutan	1907-12-17	founding	1
drop-seed	same fact, same date; dump row carries better coords/title	title	seed:biafra-1967-05-30	Biafra	1967-05-30	founding	The Republic of Biafra secedes from the Federal Republic of Nigeria. Enugu is the capital. It is recognized by Gabon, Iv	Q178469	Biafra	1967-05-30	founding	0.73
drop-seed	same fact, same date; dump row carries better coords/title	title	seed:bophuthatswana-1977-12-06	Bophuthatswana	1977-12-06	founding	The Bantustan Republic of Bophuthatswana is declared independent by South Africa. Mmabatho becomes the capital. No other	Q158236	Bophuthatswana	1977-12-06	founding	0.37
drop-seed	referendum result vs declaration - one act (2 days apart)	title	seed:bosnia-and-herzegovina-1992-03-03	Bosnia and Herzegovina	1992-03-03	founding	Following an independence referendum, the Socialist Republic of Bosnia and Herzegovina secedes from the Socialist Federa	Q225	Bosnia and Herzegovina	1992-03-01	founding	1
drop-seed	same fact, same date; dump row carries better coords/title	title	seed:botswana-1966-09-30	Botswana	1966-09-30	founding	Bechuanaland gains independence from the United Kingdom as the Republic of Botswana. Gaborone remains the capital.	Q963	Botswana	1966-09-30	founding	1
drop-seed	same fact, same date; dump row carries better coords/title	title	seed:brazil-1822-09-07	Brazil	1822-09-07	founding	1822: Pedro I of Brazil declared Brazil's independence from Portugal on 7 September.	Q155	Brazil	1822-09-07	founding	1
drop-seed	same fact, same date; dump row carries better coords/title	title	seed:british-antarctic-territory-1962-03-03	British Antarctic Territory	1962-03-03	founding	The United Kingdom officially gives the territory claimed in Antarctica an entity, the British Antarctic Territory, alth	Q165783	British Antarctic Territory	1962-03-03	founding	0.77
drop-seed	same fact, same date; dump row carries better coords/title	title	seed:brunei-1984-01-01	Brunei	1984-01-01	founding	Brunei Darussalam gains independence within the Commonwealth of Nations from the United Kingdom.	Q921	Brunei	1984-01-01	founding	1
drop-seed	same fact, same date; dump row carries better coords/title	title	seed:budapest-1873-11-17	Budapest	1873-11-17	founding	With the unification of Buda, Obuda, and Pest, Budapest becomes the capital of the Kingdom of Hungary.	Q1781	Budapest	1873-11-17	founding	1
