verdict	reason	why	seed_id	seed_title	seed_date	seed_cat	seed_blurb	dump_id	dump_title	dump_date	dump_cat	dump_notability
keep-both	distinct event at the same entity	title	seed:addis-ababa-1889-03-09	Addis Ababa	1889-03-09	event	Emperor Menelik II of Ethiopia moves his capital to Addis Ababa.	Q3624	Addis Ababa	1886-01-01	founding	1
keep-both	distinct event at the same entity	title	seed:albania-1914-03-07	Albania	1914-03-07	event	Albania becomes the Principality of Albania.	Q222	Albania	1912-11-28	founding	1
keep-both	distinct event at the same entity	title	seed:algeria-1962-09-25	Algeria	1962-09-25	event	Algeria becomes the People's Democratic Algerian Republic.	Q262	Algeria	1962-07-05	founding	1
keep-both	distinct event at the same entity	title	seed:andorra-1278-09-08	Andorra	1278-09-08	treaty	Andorra is granted independence from the Crown of Aragon, whereupon the Pareage of Andorra is signed, establishing a con	Q228	Andorra	1278-01-01	founding	1
keep-both	distinct event at the same entity	title	seed:angola-1973-01-01	Angola	1973-01-01	event	Portugal reorganizes the Overseas Province of Angola as the State of Angola.	Q916	Angola	1975-11-11	founding	1
keep-both	distinct event at the same entity	title	seed:armenia-1990-08-23	Armenia	1990-08-23	founding	The Armenian Soviet Socialist Republic secedes from the Soviet Union as the Republic of Armenia. Yerevan remains the cap	Q399	Armenia	1991-09-23	founding	1
keep-both	title collision with a same-named settlement	title	seed:athens-1834-01-01	Athens	1834-01-01	event	The Kingdom of Greece moves its capital from Nafplio to Athens.	Q2791349	Athens	1831-01-01	founding	0.25
keep-both	title collision with a same-named settlement	title	seed:austerlitz-1805-01-01	Austerlitz	1805-01-01	conflict	The French victory over an Austrian-Russian army at the Battle of Austerlitz ended the War of the Third Coalition.	Q2380583	Austerlitz	1804-01-01	founding	0.19
keep-both	distinct event at the same entity	title	seed:austria-hungary-1867-06-08	Austria-Hungary	1867-06-08	founding	Austria-Hungary is established by a compromise of the Austrian Empire and the Kingdom of Hungary. The Grand Duchy of Tra	Q28513	Austria–Hungary	1867-03-01	founding	1
keep-both	distinct event at the same entity	title	seed:austrian-empire-1804-01-01	Austrian Empire	1804-01-01	founding	1804: Austrian Empire founded by Francis I.	Q131964	Austrian Empire	1804-08-11	founding	1
keep-both	distinct event at the same entity	title	seed:azerbaijan-1991-02-05	Azerbaijan	1991-02-05	event	The Azerbaijan Soviet Socialist Republic changes its name to the Republic of Azerbaijan.	Q227	Azerbaijan	1991-01-01	founding	1
keep-both	distinct event at the same entity	title	seed:bangladesh-1974-02-22	Bangladesh	1974-02-22	treaty	Pakistan recognizes the independence of Bangladesh, relinquishing its claims to the former East Pakistan.	Q902	Bangladesh	1971-03-26	founding	1
keep-both	distinct event at the same entity	title	seed:battle-of-warsaw-1831-09-06	Battle of Warsaw	1831-09-06	conflict	1831: November Uprising ends with crushing defeat for Poland in the Battle of Warsaw.	Q570456	Battle of Warsaw	1831-01-01	conflict	0.09
keep-both	distinct event at the same entity	title	seed:bavaria-1919-04-06	Bavaria	1919-04-06	event	The Bavarian Soviet Republic supersedes the People's State of Bavaria.	Q980	Bavaria	1919-01-12	founding	1
keep-both	distinct event at the same entity	title	seed:bavaria-1919-05-03	Bavaria	1919-05-03	event	The Free State of Bavaria supersedes the Bavarian Soviet Republic.	Q980	Bavaria	1919-01-12	founding	1
keep-both	distinct event at the same entity	title	seed:belarus-1991-09-19	Belarus	1991-09-19	event	The Byelorussian Soviet Socialist Republic changes its name to the Republic of Belarus.	Q184	Belarus	1991-08-25	founding	1
keep-both	distinct event at the same entity	title	seed:belgium-1830-01-01	Belgium	1830-01-01	founding	Belgian Revolution results in Belgium's independence from the Netherlands.	Q31	Belgium	1830-10-04	founding	1
keep-both	distinct event at the same entity	title	seed:belmopan-1970-05-01	Belmopan	1970-05-01	event	British Honduras begins to move its capital from Belize City to Belmopan.	Q3043	Belmopan	1970-08-01	founding	1
keep-both	distinct event at the same entity	title	seed:berlin-conference-1884-01-01	Berlin Conference	1884-01-01	treaty	The Berlin Conference of 1884-1885 attempted to reach agreement on colonial borders in Africa, but disputes continued, b	Q13582	Berlin Conference	1884-11-15	event	0.71
keep-both	distinct event at the same entity	title	seed:biafra-1970-01-15	Biafra	1970-01-15	conflict	The Republic of Biafra capitulates and is reabsorbed by Nigeria.	Q178469	Biafra	1967-05-30	founding	0.73
keep-both	distinct event at the same entity	title	seed:bolivia-1824-08-06	Bolivia	1824-08-06	founding	Bolivia declares independence from the Monarchy of Spain and refuses to join either Peru or the United Provinces of Sout	Q750	Bolivia	1825-01-01	founding	1
keep-both	distinct event at the same entity	title	seed:bosnia-and-herzegovina-1992-04-06	Bosnia and Herzegovina	1992-04-06	conflict	Bosnian War, international armed conflict that took place in Bosnia and Herzegovina between 1992 and 1995.	Q225	Bosnia and Herzegovina	1992-03-01	founding	1
keep-both	distinct event at the same entity	title	seed:bosnia-and-herzegovina-1992-04-08	Bosnia and Herzegovina	1992-04-08	event	The Socialist Republic of Bosnia and Herzegovina changes its name to the Republic of Bosnia and Herzegovina.	Q225	Bosnia and Herzegovina	1992-03-01	founding	1
keep-both	distinct event at the same entity	title	seed:bosnia-and-herzegovina-1995-12-14	Bosnia and Herzegovina	1995-12-14	treaty	The Federation of Bosnia and Herzegovina and Republika Srpska unite to form Bosnia and Herzegovina, superseding the Repu	Q225	Bosnia and Herzegovina	1992-03-01	founding	1
keep-both	distinct event at the same entity	title	seed:brandenburg-prussia-1618-08-27	Brandenburg-Prussia	1618-08-27	event	The personal union of the Electorate of Brandenburg with the Duchy of Prussia creates Brandenburg-Prussia. Berlin and Ko	Q157367	Brandenburg-Prussia	1618-01-01	founding	0.42
keep-both	joining ASEAN is not the independence six days earlier (6 days apart)	title	seed:brunei-1984-01-07	Brunei	1984-01-07	treaty	Brunei joins ASEAN as the association's sixth member state.	Q921	Brunei	1984-01-01	founding	1
keep-both	title collision with a same-named settlement	title	seed:buda-1490-01-01	Buda	1490-01-01	event	King Vladislaus II moves the capital of the Hungarian Kingdom back to Buda.	Q12085193	Buda	1488-01-01	founding	0.08
